iter	MultiClass
0	1.791052397
1	1.790340611
2	1.78962938
3	1.788926257
4	1.788220024
5	1.787522208
6	1.786823044
7	1.786122954
8	1.785430708
9	1.784737591
10	1.784045034
11	1.783360175
12	1.782669112
13	1.781978578
14	1.781299472
15	1.780615425
16	1.779932605
17	1.779253524
18	1.778573398
19	1.777895693
20	1.777216785
21	1.776539355
22	1.775865685
23	1.775187887
24	1.774518571
25	1.773847914
26	1.773180673
27	1.772517184
28	1.771854701
29	1.771187047
30	1.770527173
31	1.769867704
32	1.769203601
33	1.768552965
34	1.767894819
35	1.767234549
36	1.766581544
37	1.765927328
38	1.765275094
39	1.764620732
40	1.763974162
41	1.7633265
42	1.762677318
43	1.762030976
44	1.761384423
45	1.760742273
46	1.760099497
47	1.759459422
48	1.758832203
49	1.758200395
50	1.757562243
51	1.756924855
52	1.756297414
53	1.755672357
54	1.755045355
55	1.754422913
56	1.753806771
57	1.753185136
58	1.752564809
59	1.751941341
60	1.751325745
61	1.750713608
62	1.750096544
63	1.749483287
64	1.748869685
65	1.74825772
66	1.747641816
67	1.747034958
68	1.746426792
69	1.745819549
70	1.745215944
71	1.744617814
72	1.744014477
73	1.743407857
74	1.742804023
75	1.742206427
76	1.741607095
77	1.74100701
78	1.740413542
79	1.73982384
80	1.739228916
81	1.738636127
82	1.738045795
83	1.737452829
84	1.736861064
85	1.736273739
86	1.735703082
87	1.735126021
88	1.734539429
89	1.733960262
90	1.733381065
91	1.732796872
92	1.732220479
93	1.731648267
94	1.731071139
95	1.730499501
96	1.729925731
97	1.729351684
98	1.728787018
99	1.728222298
100	1.727652865
101	1.727088588
102	1.726528126
103	1.725961675
104	1.725393398
105	1.724835342
106	1.724274954
107	1.723719661
108	1.723161944
109	1.722602737
110	1.722046933
111	1.721493164
112	1.720938645
113	1.720388648
114	1.719837496
115	1.719284446
116	1.718734678
117	1.71819376
118	1.717647576
119	1.71710794
120	1.716563706
121	1.716014367
122	1.715478666
123	1.714937614
124	1.714394999
125	1.713860082
126	1.713321343
127	1.712788259
128	1.71225293
129	1.711716683
130	1.711182216
131	1.710648848
132	1.710119288
133	1.70958873
134	1.709063212
135	1.70853837
136	1.708010836
137	1.707484355
138	1.706958612
139	1.706436435
140	1.705912071
141	1.705390395
142	1.704871559
143	1.704352009
144	1.703831711
145	1.703316351
146	1.702799852
147	1.702286763
148	1.701771952
149	1.701259325
150	1.700748679
151	1.700239513
152	1.699729299
153	1.699217796
154	1.698707775
155	1.698202312
156	1.697699557
157	1.697195083
158	1.696696007
159	1.6961964
160	1.695701391
161	1.695202237
162	1.694702959
163	1.694206069
164	1.693712108
165	1.693216339
166	1.692719633
167	1.692227802
168	1.691736194
169	1.69124945
170	1.690757596
171	1.690269663
172	1.689784324
173	1.689300111
174	1.688814909
175	1.688327428
176	1.68784298
177	1.687358551
178	1.686873821
179	1.686395944
180	1.685921945
181	1.685442504
182	1.68496511
183	1.684483285
184	1.684006196
185	1.683532357
186	1.683059349
187	1.682585658
188	1.68211056
189	1.681636234
190	1.681166428
191	1.68069507
192	1.680229217
193	1.679761361
194	1.679294911
195	1.678827494
196	1.678360868
197	1.677895508
198	1.677428511
199	1.67696415
200	1.676506551
201	1.676041842
202	1.675575998
203	1.675121536
204	1.674667277
205	1.674211995
206	1.673752103
207	1.673295203
208	1.672838431
209	1.672387252
210	1.671933417
211	1.671491539
212	1.671036564
213	1.670585591
214	1.670137978
215	1.669688959
216	1.669241696
217	1.668801201
218	1.668362061
219	1.667915466
220	1.667475998
221	1.667032188
222	1.666586194
223	1.666144854
224	1.665703609
225	1.665263968
226	1.664826624
227	1.664388102
228	1.663950348
229	1.663510654
230	1.663076613
231	1.662641673
232	1.662204586
233	1.661768299
234	1.661336703
235	1.660902594
236	1.6604703
237	1.660036811
238	1.659605237
239	1.659174023
240	1.658745579
241	1.658316886
242	1.657886213
243	1.657463175
244	1.657041981
245	1.656621761
246	1.656197838
247	1.655769816
