iter	Passed	Remaining
0	10	103667
1	20	102068
2	30	102391
3	41	103186
4	51	103755
5	62	103835
6	72	103659
7	82	103059
8	92	102907
9	101	101644
10	111	101284
11	122	101769
12	132	101427
13	141	100984
14	150	100432
15	160	100237
16	170	99909
17	178	99138
18	187	98567
19	197	98539
20	206	98194
21	216	98321
22	227	98870
23	238	98945
24	248	99333
25	258	99250
26	269	99393
27	279	99453
28	289	99610
29	300	99872
30	310	99865
31	320	99838
32	330	99817
33	339	99472
34	348	99177
35	357	98983
36	367	98877
37	377	99024
38	388	99185
39	397	99076
40	406	98824
41	416	98687
42	424	98379
43	434	98223
44	443	98009
45	451	97671
46	460	97507
47	468	97135
48	477	96960
49	486	96776
50	494	96509
51	504	96424
52	512	96187
53	521	96027
54	530	96014
55	540	95959
56	549	95813
57	556	95435
58	566	95488
59	575	95300
60	584	95177
61	592	94972
62	601	94860
63	610	94839
64	620	94853
65	629	94711
66	638	94637
67	646	94475
68	656	94559
69	665	94399
70	674	94350
71	682	94166
72	690	93934
73	699	93778
74	706	93539
75	715	93445
76	724	93325
77	733	93284
78	742	93226
79	751	93157
80	760	93157
81	769	93067
82	778	92965
83	786	92859
84	796	92892
85	804	92708
86	813	92683
87	821	92570
88	831	92604
89	840	92559
90	848	92388
91	858	92405
92	867	92444
93	877	92463
94	887	92496
95	896	92511
96	905	92449
97	915	92479
98	923	92315
99	931	92266
100	940	92176
101	949	92142
102	958	92092
103	967	92059
104	977	92092
105	985	92024
106	994	91949
107	1003	91878
108	1011	91802
109	1021	91818
110	1030	91779
111	1038	91652
112	1046	91596
113	1054	91478
114	1064	91491
115	1071	91332
116	1080	91250
117	1089	91276
118	1099	91273
119	1107	91222
120	1117	91203
121	1126	91214
122	1135	91161
123	1144	91130
124	1153	91139
125	1162	91072
126	1171	91038
127	1180	91048
128	1189	91025
129	1196	90868
130	1205	90793
131	1213	90745
132	1223	90768
133	1232	90733
134	1241	90691
135	1250	90696
136	1260	90748
137	1268	90667
138	1277	90615
139	1286	90627
140	1295	90550
141	1303	90491
142	1312	90494
143	1322	90508
144	1331	90498
145	1340	90495
146	1349	90467
147	1358	90422
148	1367	90438
149	1376	90381
150	1384	90300
151	1392	90249
152	1401	90222
153	1409	90141
154	1419	90145
155	1427	90064
156	1435	89985
157	1444	89975
158	1453	89968
159	1462	89917
160	1470	89860
161	1478	89763
162	1486	89715
163	1496	89759
164	1505	89755
165	1514	89729
166	1523	89698
167	1532	89686
168	1540	89619
169	1548	89551
170	1557	89524
171	1566	89529
172	1575	89510
173	1584	89489
174	1593	89463
175	1602	89439
176	1611	89436
177	1621	89455
178	1631	89487
179	1640	89510
180	1648	89409
181	1656	89381
182	1664	89299
183	1673	89258
184	1682	89260
185	1692	89314
186	1703	89380
187	1713	89413
188	1721	89372
189	1730	89367
190	1739	89316
191	1747	89256
192	1755	89225
193	1763	89154
194	1772	89147
195	1782	89184
196	1793	89232
197	1802	89239
198	1812	89277
199	1822	89292
200	1832	89315
201	1841	89316
202	1850	89308
203	1860	89337
204	1870	89367
205	1881	89438
206	1890	89431
207	1900	89469
208	1910	89495
209	1920	89533
210	1930	89576
211	1940	89601
212	1950	89609
213	1959	89603
214	1968	89596
215	1977	89583
216	1986	89537
217	1994	89483
218	2002	89433
219	2011	89434
220	2020	89393
221	2028	89356
222	2037	89318
223	2045	89265
224	2054	89238
225	2063	89253
226	2072	89226
227	2081	89220
228	2089	89166
229	2099	89169
230	2108	89162
231	2119	89227
232	2134	89495
233	2143	89479
234	2152	89439
235	2161	89426
236	2170	89403
237	2178	89374
238	2187	89327
239	2195	89287
240	2203	89232
241	2212	89221
242	2223	89269
243	2232	89258
244	2240	89198
245	2249	89185
246	2257	89145
247	2266	89128
248	2276	89130
249	2283	89075
250	2291	89019
251	2300	89008
252	2309	88960
253	2317	88936
254	2325	88884
255	2334	88852
256	2342	88811
257	2351	88797
258	2361	88811
259	2371	88824
260	2380	88816
261	2388	88780
262	2396	88739
263	2405	88717
264	2414	88701
265	2423	88688
266	2432	88662
267	2440	88635
268	2449	88605
269	2457	88577
270	2466	88552
271	2475	88529
272	2484	88512
273	2492	88476
274	2501	88479
275	2510	88443
276	2517	88375
277	2525	88322
278	2533	88282
279	2541	88232
280	2550	88224
281	2559	88201
282	2567	88165
283	2575	88120
284	2584	88100
285	2592	88051
286	2601	88026
287	2610	88026
288	2619	88031
289	2629	88039
290	2638	88015
291	2646	88001
292	2656	88006
293	2665	87983
294	2674	87974
295	2681	87910
296	2689	87868
297	2698	87848
298	2706	87815
299	2715	87792
300	2724	87791
301	2733	87775
302	2742	87764
303	2749	87707
304	2759	87716
305	2767	87683
306	2776	87671
307	2785	87639
308	2795	87663
309	2806	87721
310	2815	87715
311	2824	87705
312	2833	87695
313	2842	87675
314	2851	87679
315	2860	87667
316	2869	87661
317	2878	87633
318	2887	87619
319	2895	87595
320	2904	87581
321	2913	87568
322	2922	87559
323	2931	87540
324	2939	87509
325	2947	87468
326	2955	87436
327	2964	87417
328	2972	87390
329	2980	87350
330	2990	87352
331	2999	87355
332	3008	87349
333	3019	87377
334	3028	87377
335	3037	87371
336	3046	87364
337	3055	87346
338	3065	87362
339	3074	87344
340	3082	87300
341	3090	87264
342	3098	87243
343	3106	87203
344	3115	87183
345	3124	87170
346	3133	87175
347	3143	87181
348	3151	87157
349	3161	87164
350	3170	87167
351	3179	87159
352	3188	87144
353	3197	87131
354	3206	87114
355	3214	87088
356	3223	87066
357	3231	87033
358	3239	86985
359	3246	86937
360	3256	86942
361	3264	86924
362	3275	86950
363	3285	86974
364	3294	86976
365	3304	86994
366	3315	87016
367	3324	87011
368	3334	87028
369	3343	87029
370	3352	87017
371	3360	86975
372	3368	86947
373	3377	86932
374	3386	86915
375	3395	86908
376	3403	86863
377	3411	86840
378	3421	86854
379	3429	86831
380	3438	86821
381	3446	86774
382	3454	86741
383	3464	86745
384	3473	86759
385	3483	86762
386	3491	86733
387	3501	86734
388	3510	86728
389	3517	86683
390	3526	86657
391	3535	86658
392	3544	86643
393	3553	86647
394	3564	86669
395	3572	86649
396	3582	86648
397	3590	86629
398	3600	86627
399	3608	86596
400	3616	86576
401	3624	86547
402	3633	86519
403	3642	86509
404	3650	86488
405	3658	86448
406	3666	86427
407	3675	86418
408	3684	86405
409	3692	86364
410	3701	86352
411	3709	86330
412	3717	86304
413	3726	86288
414	3734	86258
415	3743	86244
416	3752	86238
417	3761	86231
418	3769	86198
419	3777	86165
420	3786	86161
421	3795	86150
422	3804	86126
423	3812	86106
424	3821	86089
425	3829	86060
426	3838	86050
427	3847	86046
428	3856	86028
429	3863	85991
430	3872	85979
431	3881	85968
432	3889	85938
433	3897	85910
434	3906	85894
435	3914	85877
436	3923	85859
437	3931	85821
438	3939	85806
439	3947	85770
440	3956	85753
441	3965	85755
442	3974	85752
443	3983	85729
444	3992	85720
445	4000	85704
446	4010	85700
447	4018	85677
448	4027	85668
449	4036	85666
450	4045	85650
451	4054	85640
452	4063	85637
453	4071	85601
454	4080	85604
455	4089	85591
456	4097	85556
457	4105	85534
458	4115	85547
459	4123	85512
460	4131	85486
461	4140	85477
462	4148	85455
463	4156	85430
464	4164	85390
465	4173	85390
466	4181	85366
467	4189	85334
468	4198	85312
469	4206	85302
470	4215	85292
471	4224	85268
472	4233	85269
473	4243	85273
474	4251	85252
475	4259	85222
476	4268	85210
477	4276	85192
478	4285	85180
479	4294	85166
480	4302	85146
481	4310	85126
482	4320	85123
483	4328	85111
484	4336	85080
485	4345	85067
486	4354	85052
487	4361	85014
488	4370	85007
489	4378	84987
490	4388	84990
491	4396	84961
492	4405	84949
493	4414	84939
494	4422	84925
495	4430	84897
496	4441	84915
497	4449	84896
498	4457	84869
499	4465	84852
500	4474	84834
501	4482	84818
502	4491	84805
503	4500	84793
504	4509	84780
505	4518	84777
506	4527	84769
507	4536	84771
508	4546	84771
509	4553	84734
510	4561	84711
511	4569	84685
512	4580	84703
513	4590	84712
514	4599	84716
515	4609	84714
516	4618	84715
517	4628	84720
518	4637	84713
519	4647	84734
520	4657	84732
521	4665	84713
522	4674	84701
523	4682	84671
524	4690	84647
525	4698	84620
526	4706	84609
527	4715	84599
528	4724	84584
529	4734	84591
530	4742	84576
531	4751	84565
532	4760	84553
533	4769	84545
534	4777	84515
535	4787	84528
536	4794	84494
537	4804	84491
538	4813	84497
539	4822	84483
540	4831	84474
541	4841	84480
542	4850	84474
543	4858	84448
544	4866	84431
545	4874	84410
546	4884	84403
547	4892	84390
548	4901	84378
549	4909	84351
550	4917	84337
551	4925	84310
552	4934	84299
553	4942	84273
554	4950	84252
555	4959	84242
